Accession	Organism_Name	Species	Pangolin	PangoVersions	Genotype	Isolate	Length	Nuc_Completeness	Geo_Location	Country	Host	Organization	Org_location	Collection_Date	Molecule_type
OM760545	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_989	29697	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-03	ssRNA(+)
OM760546	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_987	29567	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-03	ssRNA(+)
OM760547	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_990	29778	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-03	ssRNA(+)
OM760548	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_988	29780	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-03	ssRNA(+)
OM760549	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_991	29755	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-03	ssRNA(+)
OM760551	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_994	29774	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-06	ssRNA(+)
OM760552	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_992	29808	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-06	ssRNA(+)
OM760553	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_996	29798	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-06	ssRNA(+)
OM760554	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_997	29768	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-06	ssRNA(+)
OM760555	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_995	29785	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-06	ssRNA(+)
OM760558	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1000	29806	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760559	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1005	29780	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760560	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1002	29783	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760561	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1007	29805	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760562	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1008	29782	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760563	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_999	29777	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760564	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1004	29761	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760565	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1009	29787	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760566	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1001	29780	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760567	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1006	29781	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760568	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_998	29768	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760569	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1003	29730	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760592	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1019	29780	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760593	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1017	29776	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760594	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1026	29629	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760595	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1018	29785	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760596	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1028	29626	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760597	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1013	29778	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760598	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1029	29758	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760599	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1021	29794	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760600	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1010	29786	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760601	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1027	29768	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760602	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1020	29788	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM721684	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.18	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_963	29777	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-29	ssRNA(+)
OM721685	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_962	29738	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-29	ssRNA(+)
OM721686	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_976	29753	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-18	ssRNA(+)
OM721687	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_982	29792	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-18	ssRNA(+)
OM721688	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_974	29768	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-18	ssRNA(+)
OM721689	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.617.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_981	29779	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-18	ssRNA(+)
OM721690	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_971	29768	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-18	ssRNA(+)
OM721691	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_980	29635	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-18	ssRNA(+)
OM721692	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_975	29765	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-18	ssRNA(+)
OM721693	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_972	29768	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-18	ssRNA(+)
OM721694	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.617.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_977	29724	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-18	ssRNA(+)
OM721695	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_984	29737	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM721696	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.617.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_985	29783	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM721697	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_969	29777	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM721698	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_964	29780	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM721699	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_968	29788	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM721700	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_967	29797	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM721701	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_970	29770	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM721702	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_966	29768	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM721703	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_965	29768	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM692452	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	AY.131	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_823	29811	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-10	ssRNA(+)
OM692453	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_818	29337	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-10	ssRNA(+)
OM692454	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_825	29774	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-10	ssRNA(+)
OM692455	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_822	29626	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-10	ssRNA(+)
OM692456	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	AY.39.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_820	29342	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-10	ssRNA(+)
OM692457	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_824	29479	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-10	ssRNA(+)
OM692458	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_826	29785	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM692459	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_834	29787	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM692460	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_828	29773	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM692461	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_829	29776	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM692462	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_832	29631	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM692463	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_837	29780	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM692464	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_833	29766	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM692465	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_827	29796	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM692466	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_831	29790	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM692467	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_838	29799	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-14	ssRNA(+)
OM692468	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_841	29789	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-14	ssRNA(+)
OM692469	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_840	29800	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-14	ssRNA(+)
OM658343	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_690	29621	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-01	ssRNA(+)
OM658344	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	AY.131	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_694	29773	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-01	ssRNA(+)
OM658345	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	AY.131	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_695	29634	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-01	ssRNA(+)
OM638562	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_909	29788	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638563	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_910	29772	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638564	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_896	29688	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638565	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_892	28996	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
OM638566	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_893	29497	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-13	ssRNA(+)
